INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
5/29/20 16:19,2020-058336,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,2517 DR MARTIN LUTHER KING DR,LITTLE ROCK,AR,72206,34.72413,-92.289483,"(34.72413, -92.289483)"
9/14/21 1:06,2021-112454,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1922 MICHAEL DR,LITTLE ROCK,AR,72205,34.740287,-92.372303,"(34.740287, -92.372303)"
3/31/18 20:21,2018-037977,62,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,6420 COLONEL GLENN RD,LITTLE ROCK,AR,72204,34.718123,-92.348512,"(34.718123, -92.348512)"
7/17/17 23:20,2017-087054,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4800 W 14TH ST,LITTLE ROCK,AR,72204,34.739158,-92.330376,"(34.739158, -92.330376)"
9/15/21 15:24,2021-113137,63,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1801  NICHOLS RD,LITTLE ROCK,AR,72205,34.737288,-92.38663,"(34.737288, -92.38663)"
1/16/19 19:31,2019-007081,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,5202 W 29TH ST,LITTLE ROCK,AR,72204,34.725608,-92.331983,"(34.725608, -92.331983)"
8/24/18 0:30,2018-106944,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,4608 PRINCETON DR,LITTLE ROCK,AR,72204,34.735905,-92.325669,"(34.735905, -92.325669)"
3/19/18 22:30,2018-032331,53,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,2100 S OAK ST,LITTLE ROCK,AR,72204,34.73233,-92.316185,"(34.73233, -92.316185)"
9/3/19 21:08,2019-110986,51,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,600 W 13TH ST,LITTLE ROCK,AR,72202,34.737152,-92.278653,"(34.737152, -92.278653)"
3/17/18 0:50,2018-031595,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3101 BOYLE PARK RD,LITTLE ROCK,AR,72204,34.736751,-92.345195,"(34.736751, -92.345195)"
